id,form,type,translation_lexeme,analysis,translation
1.1,hara,word,Destroyer,MW.hara.260678 Voc.M.S,O Destroyer[MBh]
5.1,amam,word,powerful,MW.ama.13749 Acc.M.S,The powerful one[RV; =prāṇa Chandogya Up. 5.2.6]; 
6.1,varan,word,covers,DHATU.vf. KRT.Satf Voc.M.S,O one who covers[√वृ शतृ ; SR: uṣṇīṣin]
7.1,jaqa,stem,motionless,MW.jaqa.76650,motionless[Ragh] waters[RV][AVś 11.8.34: apsu stīmāsu]
7.1,arRaH,word,waters,MW.arRas.15823 Voc.M.S,motionless[Ragh] waters[RV][AVś 11.8.34: apsu stīmāsu]
8.1,ama,word,mighty,MW.ama.13749 Voc.M.S,O mighty[RV] anointer[√अञ्ज् चानश्][SR: bhiṣak]
8.1,aYjAna,word,anoint,DHATU.anjU~.Rudhadi  KRT.cAnaS Voc.M.S,O mighty[RV] anointer[√अञ्ज् चानश्][SR: bhiṣak]
9.1,gaRa,stem,gaṇas,MW.gaRa.62524,O killer[RV] commanding the might[RV] of the gaṇas[RV]
9.1,ama,stem,might,MW.ama.13749,O killer[RV] commanding the might[RV] of the gaṇas[RV]
9.1,Ahan,word,Slayer,DHATU.A-hana~. KRT.kvip Voc.M.S,O killer[RV] commanding the might[RV] of the gaṇas[RV]
10.1,udaya,word,Rising,MW.udaya.32590 Voc.M.S,O Rising Sun[ŚBr; Sri Rudram: aruṇa avasarpa]
11.1,tad,word,That,INDC.tad.82046,The food[RV] giver[RV][AV 19.55; SR:andhasaspati]
11.1,anna,stem,food,MW.anna.8479,The food[RV] giver[RV][AV 19.55; SR:andhasaspati]
11.1,A,stem,fully,MW.A.22015.90,The food[RV] giver[RV][AV 19.55; SR:andhasaspati]
11.1,dAH,word,giver,MW.dA.91214 Nom.M.P,The food[RV] giver[RV][AV 19.55; SR:andhasaspati]
16.1,tara,word,śiva,MW.tara.83023 Voc.M.S,O śiva[=Transcender;MBh]
17.1,cara,word,Wanderer,MW.cara.72177Voc.M.S,O Wanderer[=Shiva;RV:√चर् अच्]
18.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,"O Roarer[√रु अच्], O cleaver[RV] of Dasa[RV:6.21.11 1.53.4]"
18.1,dasa,stem,dasa,MW.dasa.91130,"O Roarer[√रु अच्], O cleaver[RV] of Dasa[RV:6.21.11 1.53.4]"
18.1,dara,word,Cleaver,MW.dara.90371 Voc.M.S,"O Roarer[√रु अच्], O cleaver[RV] of Dasa[RV:6.21.11 1.53.4]"
19.1,idDa,stem,glowing,MW.idDa.29260,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2]
19.1,acala,stem,mountains,MW.acala.1791,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2]
19.1,vaja,word,roaming,DHATU.vaja~. KRT.ac Voc.M.S,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2]
19.1,namana,word,Saluting,MW.namana.103838 Voc.M.S,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2]
20.1,tanvat,stem,drawn bow,DHATU.tanu~^.Tanadi KRT.Satf,O holder[MBh] of the drawn (bow)[RV; √तन् शतृ][SR: sudhanvā]
20.1,Dara,word,Holder,MW.Dara.99748 Voc.M.S,O holder[MBh] of the drawn (bow)[RV; √तन् शतृ][SR: sudhanvā]
22.1,tana,stem,roarer,DHATU.tanu~.Curadi KRT.ac,Roarer's[RV] dance[Rt]
22.1,lAsam,word,dance,MW.lAsa.182015 Acc.M.S,Roarer's[RV] dance[Rt]
23.1,Ahan,word,Slayer,DHATU.A-hana~. KRT.kvip Voc.M.S,O Slayer[आ-√हन् क्विप्]
24.1,taH,word,throwing,MW.tas.83654 Voc.M.S,"O transcender/subduer[तृ vms Capeller,Lanman]"
26.1,Ana,word,breath,MW.Ana.24316 Voc.M.S,O breath[TS][=prāṇa/Rudra Praśna Up. 2.9 प्राण रुद्रोऽसि]
27.1,rarAsa,word,relish,DHATU.rasa~. TIN.liw.1.S,May I relish[√रस् लिट् 1s] O praised[√नु अप्] honored one[MBh]
27.1,nava,stem,praised,DHATU.Ru. KRT.ap,May I relish[√रस् लिट् 1s] O praised[√नु अप्] honored one[MBh]
27.1,mAna,word,honor,MW.mAna.162722 Voc.M.S,May I relish[√रस् लिट् 1s] O praised[√नु अप्] honored one[MBh]
28.1,Sama,word,Tranquil,MW.Sama.212912 Voc.M.S,O Tranquil one[MBh]
30.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,O Roarer[√रु अच्]
32.1,tana,stem,roarer,DHATU.tanu~.Curadi KRT.ac Voc.M.S,O Destroyer[√तन् अच्]
34.1,saH,word,sleep,MW.sas.239787 Voc.M.S,O swift one[=Rudra; √सृ]
35.1,ra,word,generous,MW.ra.173014 Voc.M.S,O generous one[śiś]
37.1,sa,stem,with,INDC.sa.225596.1,Salava's[MBh] sign[RV][sa-lava = with Rudra]
37.1,lava,stem,cutting,MW.lava.181832,Salava's[MBh] sign[RV][sa-lava = with Rudra]
37.1,nAman,word,sign,MW.nAman.105825 Voc.M.S,Salava's[MBh] sign[RV][sa-lava = with Rudra]
39.1,han,word,Killer,MW.han.260418 Voc.M.S,O Killer[RV]
