id,form,type,translation_lexeme,analysis,translation,mw_lexeme
1.1,hara,word,Destroyer,MW.hara.260678 Voc.M.S,O Destroyer,"m. ‘Seizer’, ‘Destroyer’, N. of Śiva, ĀśvGṛ."
5.1,amam,word,powerful,MW.ama.13749 Acc.M.S,The powerful one,"m. impetuosity, violence, strength, power, RV."
6.1,varan,word,covers,DHATU.vf. KRT.Satf Voc.M.S,O one who covers,"to cover, screen, veil, conceal, hide, surround, obstruct, RV"
7.1,jaqa,stem,cold,MW.jaqa.76649,cold[Pañcat] waters[RV][AVś 11.8.34: apsu stīmāsu],"mfn.  cold, frigid, Pañcat. i, 12, 4"
7.1,arRa,word,waters,MW.arRa.15792 Voc.M.S,cold[Pañcat] waters[RV][AVś 11.8.34: apsu stīmāsu],"m. n. a wave, flood stream, RV."
8.1,ama,word,mighty,MW.ama.13749 Voc.M.S,O mighty[RV] annointer[√अञ्ज् चानश्][SR: bhiṣak],"1. अम m. impetuosity, violence, strength, power, RV."
8.1,aYjAna,word,annointer,DHATU.anjU~. KRT.cAnaS Voc.M.S,O mighty[RV] annointer[√अञ्ज् चानश्][SR: bhiṣak],
9.1,gaRa,stem,gaṇas,MW.gaRa.62524,O killer[RV] commanding the might[RV] of the gaṇas[RV],"gaRa/ as, m. a flock, troop, multitude, number, tribe, series, class , body of followers or attendants, RV."
9.1,ama,stem,might,MW.ama.13749,O killer[RV] commanding the might[RV] of the gaṇas[RV],"1. अम m. impetuosity, violence, strength, power, RV."
9.1,Ahan,word,Slayer,DHATU.A-han. KRT.kvip Voc.M.S,O killer[RV] commanding the might[RV] of the gaṇas[RV],
10.1,udaya,word,Rising,MW.udaya.32590 Voc.M.S,O Rising Sun[ŚBr; Sri Rudram: aruṇa avasarpa],"उद्-अय m. going up, rising"
11.1,tad,word,That,INDC.tad.82048,He who consumes[आ-√दा] all food[RV][AV 19.55; SR:andhasaspati],
11.1,anna,stem,food,MW.anna.8479,He who consumes[आ-√दा] all food[RV][AV 19.55; SR:andhasaspati],"a/nna , n. food or victuals, especially boiled rice"
11.1,AdAH,word,consume,MW.AdA.23763 Abl.M.S,He who consumes[आ-√दा] all food[RV][AV 19.55; SR:andhasaspati],"to take as food , RV"
16.1,tara,word,Transcender/Shiva,MW.tara.83023 Voc.M.S,O Transcender[=Shiva;MBh],"mfn. carrying across or beyond, saving (?, said of Śiva), MBh. xii, 10380"
17.1,cara,word,Wanderer,MW.cara.72176 Voc.M.S,O Wanderer[=Shiva;RV:√चर् अच्],"movable, shaking, unsteady, W."
18.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,"O Roarer[√रु अच्], O destroyer[RV] of Dasa[RV:6.21.11]",
18.1,dasa,stem,dāsa,MW.dasa.91130,"O Roarer[√रु अच्], O destroyer[RV] of Dasa[RV:6.21.11]","दस m. a demon, vi, 21, 11."
18.1,dara,word,Destroyer,MW.dara.90371 Voc.M.S,"O Roarer[√रु अच्], O destroyer[RV] of Dasa[RV:6.21.11]","दर mfn.   ifc., cleaving, breaking See पुरं-दर, भगं-"
19.1,idDa,stem,glowing,MW.idDa.29260,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2],"shining, glowing, blazing, RV."
19.1,acala,stem,mountains,MW.acala.1791,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2],"अ-चल m. a mountain, rock"
19.1,vaja,word,roaming,DHATU.vaj. KRT.ac Voc.M.S,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2],
19.1,namana,word,Saluting,MW.namana.103838 Voc.M.S,Saluting the one who roams[√वज् अच्] the glowing[RV] mountains[Pañc][=Rudra RV 10.180.2],"नमन n. bowing down, sinking, MārkP."
20.1,tanvat,stem,drawn bow,DHATU.tanu~^.Tanadi KRT.Satf,O holder[MBh] of the drawn (bow)[RV; √तन् शतृ][SR: sudhanvā],
20.1,Dara,word,Holder,MW.Dara.99748 Voc.M.S,O holder[MBh] of the drawn (bow)[RV; √तन् शतृ][SR: sudhanvā],"धर mfn.  bearing, supporting , MBh."
22.1,tana,stem,Roarer,MW.tana.82251,Roarer's[RV] dance[Rt],"तन n. offspring, posterity, i, 39, 7"
22.1,lAsam,word,dance,MW.lAsa.182015 Acc.M.S,Roarer's[RV] dance[Rt],"lAsa m. the act of jumping, sporting, dancing, Ṛt."
23.1,Ahan,word,Slayer,DHATU.A-han. KRT.kvip Voc.M.S,O Slayer[आ-√हन् क्विप्],
24.1,taH,word,throwing,MW.tas.83654 Voc.M.S,O Destroyer[तस् क्विप्],"to fade away, perish, Dhātup. xxvi, 103;"
26.1,Ana,word,breath,MW.Ana.24316 Voc.M.S,O breath[TS][=prāṇa/Rudra Praśna Up. 2.9 प्राण रुद्रोऽसि],"exhaling the breath through the nose, T."
27.1,rarAsa,word,relish,DHATU.ras. TIN.liw.1.S,May I relish[√रस् लिट् 1s] O wanderer[√नु शानच्],
27.1,nava,stem,Wanderer,DHATU.nu. KRT.ap,May I relish[√रस् लिट् 1s] O wanderer[√नु शानच्],
27.1,mAna,word,honor,MW.mAna.162722 Voc.M.S,May I relish[√रस् लिट् 1s] O wanderer[√नु शानच्],"a wounded sense of honour, anger or indignation excited by jealousy , caprice, sulking, Kāv."
28.1,Sama,word,Tranquil,MW.Sama.212912 Voc.M.S,O Tranquil one[MBh],"शम m. tranquillity, calmness, rest, equanimity, quietude or quietism, absence of passion, abstraction from external objects through intense meditation , Mn."
30.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,O Roarer[√रु अच्],
32.1,tana,word,Destroyer,MW.tana.82251 Voc.M.S,O Destroyer[√तन् अच्],"तन n. offspring, posterity, i, 39, 7"
34.1,saH,word,"to sleep, RV",MW.sas.239787 Voc.M.S,O swift one[=Rudra; √सृ],"to sleep, RV"
35.1,ra,word,generous,MW.ra.173014 Voc.M.S,O generous one[śiś],"2. ra  a cretic , Piṅg."
37.1,sa,stem,"7. स ind.  an inseparable prefix expressing ‘junction’, ‘conjunction’, ‘posse...",MW.sa.225596,Salava's[MBh] sign[RV][sa-lava = with Rudra],"7. स ind.  an inseparable prefix expressing ‘junction’, ‘conjunction’, ‘possession’ , ‘similarity’, ‘equality’"
37.1,lava,stem,"लव m.  the act of cutting, reaping , mowing, plucking or gathering , Das, Nalod.",MW.lava.181832,Salava's[MBh] sign[RV][sa-lava = with Rudra],"लव m.  the act of cutting, reaping , mowing, plucking or gathering , Das, Nalod."
37.1,nAman,word,sign,MW.nAman.105825 Voc.M.S,Salava's[MBh] sign[RV][sa-lava = with Rudra],"नामन् n.  a characteristic mark or sign, form, nature, kind, manner, RV."
39.1,han,word,Killer,MW.han.260418 Voc.M.S,O Killer[RV],"2. हन् mfn. killing, a killer, slayer"
40.1,kam,word,blessed,MW.kam.43756.1 Nom.M.S,O blessed[RV] victor[√जि अच्],
40.1,jaya,word,victor,MW.jaya.77323 Voc.M.S,O blessed[RV] victor[√जि अच्],"जय m.  conquest, victory, triumph, winning, being victorious , AV. vii, 50, 8"
44.1,calataH,word,Wanderer,DHATU.cal. KRT.Satf Abl.M.S,Of the Wanderer[√चल् शतृ ims.],
47.1,namana,word,saluting,MW.namana.103839 Voc.M.S,saluting[MārkP],"bending , Sāh."
50.1,jajja,stem,swift,MW.jajja.76504,O swift one[DaivBr. 3.17; SR:śīghriya],
50.1,ra,word,possessing,MW.ra.173016 Voc.M.S,O swift one[DaivBr. 3.17; SR:śīghriya],"acquiring, possessing, Naiṣ."
52.1,rava,stem,Roarer's,MW.rava.175305,Roarer's[√रु अच्; Kāvyād] sign[RV],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
52.1,nAman,word,sign,MW.nAman.105825 Voc.M.S,Roarer's[√रु अच्; Kāvyād] sign[RV],"नामन् n.  a characteristic mark or sign, form, nature, kind, manner, RV."
54.1,A,stem,Fully,MW.A.22011.1,The destroyers[=Rudras; √नश अच्],"fully, really, indeed, RV."
54.1,nASAn,word,Destroying ones,MW.nASa.106197 Acc.M.P,The destroyers[=Rudras; √नश अच्],"2. नाश m.  the being lost, loss, disappearance, destruction, annihilation, ruin, death, Br."
