phoneme,glyphs
अ a,001 090 503 900 927 031 435 490
इ i,400
उ ū,510 794 171
ए e,001
ओ o,435
अन् अं an aṃ,740 705
अस् अः as aḥ,550 018
क ख k kh,645 611 371 470
ग घ g gh,066
च छ c ch,034 350
ज झ j jh,033 055
त थ ट ठ t th ṭ ṭh,374 140 063 630 808 415 260 013
द ध ड ढ d dh ḍ ḍh,892 717 463 540 840
न n,615 368 520 012 019
प फ p ph,015 440
ब भ b bh,625 585
म m,220 504 527 255 070 060 092 335 340 322
य y,156 422 215 277
र r,390 820 861
ल l,297
व v,590 002 388 363
श ष स ह ś ṣ s h,176 803 480 684 244 014 016 017 032
