varna,letter,glyphs
अ,a,\uE001 \ue05a \ue1f4 \ue384 \ue01f \ue1ea,
इ,i,\ue190,
उ,ū,\ue1fe \ue31a \ue0ab,
ए,e,\uE001,
ओ,o,\ue1b4,
अन् अं,an aṃ,\ue2e4 \ue2c1,
अस् अः,as aḥ,\ue226 \ue012,
क ख,k kh,\ue285 \ue263 \ue173 \ue1d6,
ग घ,g gh,\ue042,
च छ,c ch,\ue022 \ue15e,
ज झ,j jh,\ue021 \ue037,
त थ ट ठ,t th ṭ ṭh,\ue176 \ue08c \ue03f \ue276 \ue328 \ue19f \ue104 \ue00d,
द ध ड ढ,d dh ḍ ḍh,\ue37c \ue2cd \ue1cf \ue21c \ue348,
न,n,\ue267 \ue170 \ue208 \ue00c \ue013,
प फ,p ph,\ue00f \ue1b8,
ब भ,b bh,\ue271 \ue249,
म,m,\ue0dc \ue1f8 \ue20f \ue0ff \ue046 \ue03c \ue05c \ue14f \ue154 \ue142,
य,y,\ue09c \ue1a6 \ue0d7 \ue115,
र,r,\ue186 \ue334 \ue35d \ue2f8,
ल,l,\ue129,
व,v,\ue24e \ue002 \ue184 \ue16b,
श ष स ह,"ś ṣ s h",\ue0b0 \ue323 \ue1e0 \ue2ac \ue0f4 \ue00e \ue010 \ue011 \ue020,
