id,cisi,region,site,area-section,block-house,room-grid,excavation-idno,time,period,phase,depth,boss,material,color,shape,cross-section,preservation,symbol,cult,type,sides,condition,complete,dir.,class,text length,signs,h,v,th,horizontal(mm),vertical(mm),thickness(mm),text,sanskrit,translation,notes
1.1,Agr-1,Eastern Headwaters,Alamgirpur,--,--,--,-,-,-,-,- -,-,Clay,-,-,-,complete,None,None,POT:T:g,1,Fair,Y,L/R,PN,2,2,,,,0,0,0,+410-017+,hara,Destroyer[MBh]
2.1,Agr-2,Eastern Headwaters,Alamgirpur,--,--,--,-,-,-,-,- -,-,Clay,-,-,-,complete,None,None,POT:T:g,1,Fair,Y,L/R,PN,2,2,,,,0,0,0,+410-017+,hara,Destroyer[MBh]
3.1,Agr-3,Eastern Headwaters,Alamgirpur,--,--,--,-,-,-,-,- -,-,Clay,-,-,-,complete,None,None,POT:T:g,1,Fair,Y,L/R,SC,2,2,,,,0,0,0,+405-017+,hara,Destroyer[MBh]
4.1,-,Lower Indus,Allahdino,--,J6E1/2,--,AD73-157,-,-,-,-125 cm,-,Clay,Red,-,-,fragment,None,None,POT:T:g,1,Poor,N,-,??,2,1,2.5cm,3.0cm,0.6cm,25,30,6,+220-000+,
5.1,-,Lower Indus,Allahdino,--,H5E1/2,--,AD73-157,-,-,-,-0.35 m,-,Clay,Red,-,-,chipped,Bull,-,TAG,1,Poor,Y,R/L,SS,2,2,3.7cm,4.4cm,1.2cm,37,44,12,+740-235+,aman,Roarer[√अम् शतृँ]
6.1,Ad-1,Lower Indus,Allahdino,--,J7SW Quad,--,AD74-147,-,-,-,-0-20  cm,-,Steatite,-,square,-,fragment,Bull1,-,SEAL:S,1,Poor,Y,R/L,SS,3,3,2.85cm,2.3cm,2.8cm,28.5,23,28,+740-390-590+,varAn,blessings[RV]
7.1,Ad-2,Lower Indus,Allahdino,--,Test 6B-,--,AD74-32,-,-,-,-10 cm,-,Steatite,-,square,-,complete,Bull1:J,SAN,SEAL:S,1,Fair,Y,R/L,SC,4,4,2.3cm,2.5cm,1.4cm,23,25,14,+368-390-125-033+,jaqa-arRa,cold[Pañcat] stream[RV]
8.1,Ad-3,Lower Indus,Allahdino,--,E4SW Quad,--,AD74-177,-,-,-,-90 cm,-,Steatite,-,square,-,complete,Bull1:II,SAN,SEAL:S,1,Fair,Y,R/L,MT,5,5,2cm,2.1cm,1.3cm,20,21,13,+740-904-033-705-235+,aman jAna,"O Roaring[√अम् शतृँ] Creator[RV]"
9.1,Ad-4,Lower Indus,Allahdino,--,H6-,--,AD74-105,-,-,-,-15 cm,-,Steatite,-,square,-,complete,Bull1:II,SAN,SEAL:S,1,Fair,Y,R/L,LP,6,6,2.1cm,2.1cm,0.6cm,21,21,6,+740-017-495-235-741-066+,Gana-ama-Ahan,Destroyer[RV] O powerful[RV] killer[RV]
10.1,Ad-5,Lower Indus,Allahdino,--,C6NW Quad,--,AD74-123,-,-,-,-34 cm,-,Steatite,-,square,-,complete,Bull1,SAN,SEAL:S,1,Poor,Y,R/L,SS,3,3,1.7cm,1.8cm,0.5cm,17,18,5,+156-460-510+,udaya,Rising Sun[ŚBr]
11.1,Ad-6,Lower Indus,Allahdino,--,E6NW Quad,--,AD74-164,-,-,-,-110 cm,-,Steatite,-,square,-,complete,Rhin,Trough,SEAL:S,1,Fair,Y,R/L,SC,5,5,2.0cm,2.1cm,1.6cm,20,21,16,+072-170-740-840-013+,tadanna-DAma,Institute[RV] of regular food[RV]
12.1,Ad-7,Lower Indus,Allahdino,--,H7SW Quad,--,AD74-126,-,-,-,-20 cm,-,Steatite,-,square,-,partly damaged,None,None,SEAL:S,1,Poor,N,R/L,??,6,3,0.9cm,0.9cm,0.4cm,9,9,4,+740-142-000/000-388-000+
