varna,letter,glyphs
अ,a,\uE001 \ue05a \ue064 \ue1f4 \ue384 \ue388 \ue39f \ue39b \ue383 \ue01f \ue1b4 \ue1b3 \ue258 \ue1ea \ue1f7,
आ,ā,     \uE001 ,
इ,i, ,
ई,ī,,
उ,ū,    ,
ए,e,\uE001,
ओ,o, ,
अन् अं,an aṃ,           ,
अस् अः,as aḥ,              ,
क ख,k kh,ka         ,
ग घ,g gh,,
च छ,c ch,ca ,
ज झ,j jh,  ja  ,
त थ ट ठ,t th ṭ ṭh,     wa         tra,
द ध ड ढ,d dh ḍ ḍh,                   ,
न,n,          na  ,
प फ,p ph,pan   ,
ब भ,b bh,     ,
म,m,                          ,
य,y,           ,
र,r,                     ,
ल,l, ,
व,v,  vi    ,
