id,word,seal_id,code,modifier,pratyaya,kartari,gender,vacana,purusha,vibhakti,comment
1,hara,*,MW:hara,sup,,,1,1,,8,done
2,rava,*,2.0028,krt,ac,,1,1,,8,done
4,asmi,*,2.006,tin,,plat,,1,3,,done
5,ravasya,*,2.0028,krt,ac,,1,1,,6,done
6,vawAt,*,MW:vawa,sup,,,1,1,,5,done
7,mAKAni,*,MW:mAKa,sup,,,3,3,,1,done
8,calata,*,1.0924,tin,,plot,,3,2,,done
9,amam,*,MW:ama,sup,,,1,1,,2,done
10,mana,2832.1,1.1078,tin,,plot,,1,2,,There are many instances and there are different derivations so the link needs to only be present if there is a valid entry
11,sakza,*,MW:sakza,sup,,,1,1,,8,need to verify
12,naram,*,MW:nara,sup,,,1,1,,2,done
13,jaWala,*,MW:jaWala,sup,,,1,1,,8,need to verify
14,DAra,*,MW:DAra,sup,,,1,1,,8,need to verify
15,raha,*,1.0832,tin,,plot,,1,2,,done
16,Dakka,*,10.0083,krt,ac,,1,1,,8,done
17,vaha,*,1.1159,tin,,plot,,1,2,,done
18,mAMsaja,*,MW:mAMsaja,,,,1,1,,8,need to verify
19,ASa,*,MW:ASa,sup,,,1,1,,8,need to verify
20,varam,*,MW:vara,sup,,,1,1,,2,
21,dAma,*,MW:dAman,sup,,,3,1,,8,
22,mana,2551.1,4.0073,krt,ac,,1,1,,8,
23,kaMsaM,*,MW:kaMsa,sup,,,3,1,,2,
24,naH,*,MW:asmad,sup,,,1,3,,4,
25,ranDana,*,MW:ranDana,sup,,,1,1,,8,need to verify
26,SatadA,*,MW:SatadA,sup,,,1,1,,1,
27,Ama,*,1.0536,tin,,plot,,1,1,,
28,ca,*,MW:ca,,,,,,,,
29,varAn,*,MW:vara,sup,,,1,3,,2,
30,udaya,*,MW:udaya,sup,,,1,1,,8,need to verify
31,nAman,*,MW:nAman,sup,,,3,1,,8,need to verify
32,naraM,*,MW:nara,sup,,,1,1,,2,done
33,maham,*,MW:maha,sup,,,1,1,,2,done
33,mahaM,*,MW:maha,sup,,,1,1,,2,done
34,mAKaM,*,MW:mAKa,sup,,,3,1,,2,DOESNT SEEM TO WORK
35,Asa,*,01.1029,tin,,plit,,1,1,,done
36,nadan,*,01.0056,krt,Satf,,1,1,,1,DOESNT SEEM TO WORK
43,nadat,*,01.0056,krt,Satf,,1,1,,1,WORK DOESNT SEEM TO EXIST IN CORPUS
37,kam,*,MW:kam,,,,,,,,done
38,dAta,*,MW:dAta,sup,,,1,1,,8,done
39,tat,*,MW:tat,,,,,,,,done
40,dadanam,*,01.0017,krt,lyuw,,3,1,,2,done
41,aYjas,*,MW:aYjas,,,,,,,,done
42,kaMsam,*,MW:kaMsa,sup,,,3,1,,2,done
43,saram,*,MW:sara,sup,,,1,1,,2,
44,saraM,*,MW:sara,sup,,,1,1,,2,
45,modAn,*,MW:moda,sup,,,1,3,,2,
46,a,*,MW:a,,,,,,,,
47,A,*,MW:A,,,,,,,,
48,acala,*,MW:acala,,,,,,,,
49,adaBa,*,MW:adaBa,,,,,,,,
50,aha,*,MW:aha,,,,,,,,
51,Aha,*,5.0029,tin,,plit,,1,3,,
52,Ahana,*,MW:Ahana,,,,,,,,
53,Ahara,*,MW:Ahara,,,,,,,,
54,ahaH,*,MW:ahas,sup,,,3,1,,1,
55,ahata,*,MW:ahata,,,,,,,,
56,AhAva,*,MW:AhAva,,,,,,,,
57,aja,*,MW:aja,,,,,,,,
58,ajAda,*,MW:ajAda,,,,,,,,
59,aka,*,MW:aka,,,,,,,,
60,Aka,*,MW:Aka,,,,,,,,
61,ama,*,MW:ama,,,,,,,,
62,Am,*,MW:Am,,,,,,,,
63,Ama,*,1.0536,tin,,plit,,1,3,,
64,Amana,*,MW:Amana,,,,,,,,
65,amatra,*,MW:amatra,,,,,,,,
66,amavat,*,MW:amavat,,,,,,,,
67,Amaya,*,MW:Amaya,,,,,,,,
68,AmaYja,*,MW:AmaYja,,,,,,,,
69,aMSa,*,MW:aMSa,,,,,,,,
70,an,*,MW:an,,,,,,,,
71,ana,*,MW:ana,,,,,,,,
72,anan,*,2.0065,krt,Satr,,1,1,,8,
73,anA,*,MW:anA,,,,,,,,
74,anAH,*,MW:ana,sup,,,1,3,,1,
75,anA,3912.1,MW:anan,sup,,,1,1,,1,
76,Ana,*,MW:Ana,,,,,,,,
77,anani,*,02.MW:anan,sup,,,1,1,,7,
78,Anada,*,MW:Anada,,,,,,,,
79,anala,*,MW:anala,,,,,,,,
80,analavat,*,MW:analavat,,,,,,,,
81,Anama,*,MW:Anama,,,,,,,,
82,Anana,*,MW:Anana,,,,,,,,
83,anarva,*,MW:anarva,,,,,,,,
84,anarvAm,*,MW:anarvAm,,,,,,,,
85,Anata,*,MW:Anata,,,,,,,,
86,anAtma,*,MW:anAtma,,,,,,,,
87,Anava,*,MW:Anava,,,,,,,,
88,anDa,*,MW:anDa,,,,,,,,
89,aNki,*,MW:aNki,,,,,,,,
90,anna,*,MW:anna,,,,,,,,
91,anta,*,MW:anta,,,,,,,,
92,anu,*,MW:anu,,,,,,,,
93,anvaya,*,MW:anvaya,,,,,,,,
94,anya,*,MW:anya,,,,,,,,
95,ara,*,MW:ara,,,,,,,,
96,Ara,*,MW:Ara,,,,,,,,
97,araRa,*,MW:araRa,,,,,,,,
98,Arava,*,MW:Arava,,,,,,,,
99,Asa,*,MW:Asa,,,,,,,,
100,ASa,*,MW:ASa,,,,,,,,
101,Asada,*,MW:Asada,,,,,,,,
102,asama,*,MW:asama,,,,,,,,
103,asamad,*,MW:asamad,,,,,,,,
104,ASas,*,MW:ASas,,,,,,,,
105,aSma,*,MW:aSma,,,,,,,,
106,ASma,*,MW:ASma,,,,,,,,
107,aSna,*,MW:aSna,,,,,,,,
108,ASna,*,MW:ASna,,,,,,,,
109,asra,*,MW:asra,,,,,,,,
110,aSru,*,MW:aSru,,,,,,,,
111,aSva,*,MW:aSva,,,,,,,,
112,ASvam,*,MW:ASvam,,,,,,,,
113,aSvatTa,*,MW:aSvatTa,,,,,,,,
114,Atata,*,MW:Atata,,,,,,,,
115,Atma,*,MW:Atma,,,,,,,,
116,ava,*,MW:ava,,,,,,,,
117,Ava,*,MW:Ava,,,,,,,,
118,Avaha,*,MW:Avaha,,,,,,,,
119,avamam,*,MW:avama,sup,,,3,1,,2,
120,aYja,*,7.0021,krt,ac,,1,1,,8,
121,aYjan,*,7.0021,krt,Satr,,1,1,,8,
122,aYjasam,*,MW:aYjas,sup,,,3,1,,2,
123,azwama,*,MW:azwama,,,,,,,,
124,Ba,*,MW:Ba,,,,,,,,
125,bARa,*,MW:bARa,,,,,,,,
126,Baya,*,MW:Baya,,,,,,,,
127,Bara,*,MW:Bara,,,,,,,,
128,BARa,*,MW:BARa,,,,,,,,
129,Basa,*,MW:Basa,,,,,,,,
130,BAsa,*,MW:BAsa,,,,,,,,
131,Basma,*,MW:Basma,,,,,,,,
132,Bava,*,MW:Bava,sup,,,1,1,,8,
133,Cada,*,MW:Cada,,,,,,,,
134,cala,*,MW:cala,,,,,,,,
135,cali,*,MW:cali,,,,,,,,
136,da,*,MW:da,,,,,,,,
137,dA,*,MW:dA,,,,,,,,
138,DA,*,MW:DA,,,,,,,,
139,dada,*,MW:dada,,,,,,,,
140,daDa,*,MW:daDa,,,,,,,,
141,dAda,*,MW:dAda,,,,,,,,
142,daha,*,MW:daha,,,,,,,,
143,dAha,*,MW:dAha,,,,,,,,
144,dahana,*,MW:dahana,,,,,,,,
145,dahavat,*,MW:dahavat,,,,,,,,
146,dala,*,MW:dala,,,,,,,,
147,dalat,*,MW:dalat,,,,,,,,
148,dama,*,MW:dama,,,,,,,,
149,dAma,*,MW:dAma,,,,,,,,
150,damana,*,MW:damana,,,,,,,,
151,dAna,*,MW:dAna,,,,,,,,
152,Dana,*,MW:Dana,,,,,,,,
153,Dan,*,MW:Dan,,,,,,,,
154,DA,2716.1,MW:Dan,sup,,,1,1,,8,
155,DA,5524.1,MW:Dan,sup,,,1,1,,8,
156,Danva,*,MW:Danva,,,,,,,,
157,Danvacara,*,MW:Danvacara,,,,,,,,
158,dara,*,MW:dara,,,,,,,,
159,DAra,*,MW:DAra,,,,,,,,
160,DAraRa,*,MW:DAraRa,,,,,,,,
161,DAravat,*,MW:DAravat,,,,,,,,
162,dasa,*,MW:dasa,,,,,,,,
163,daSa,*,MW:daSa,,,,,,,,
164,datta,*,MW:datta,,,,,,,,
165,dava,*,MW:dava,,,,,,,,
166,dAva,*,MW:dAva,,,,,,,,
167,daya,*,MW:daya,,,,,,,,
168,DI,*,MW:DI,,,,,,,,
169,ejat,*,MW:ejat,,,,,,,,
170,fta,*,MW:fta,,,,,,,,
171,gadA,*,MW:gadA,,,,,,,,
172,Gana,*,MW:Gana,,,,,,,,
173,hana,*,MW:hana,,,,,,,,
174,hAna,*,MW:hAna,,,,,,,,
175,hara,*,MW:hara,,,,,,,,
176,haraRa,*,MW:haraRa,,,,,,,,
177,harAt,*,MW:harAt,,,,,,,,
178,hata,*,MW:hata,,,,,,,,
179,hataM,*,MW:hataM,,,,,,,,
180,havana,*,MW:havana,,,,,,,,
181,haWa,*,MW:haWa,,,,,,,,
182,haya,*,MW:haya,,,,,,,,
183,idDa,*,MW:idDa,,,,,,,,
184,Irya,*,MW:Irya,,,,,,,,
185,ja,*,MW:ja,,,,,,,,
186,jaBa,*,MW:jaBa,,,,,,,,
187,jajjavat,*,MW:jajjavat,,,,,,,,
188,jama,*,MW:jama,,,,,,,,
189,jAma,*,MW:jAma,,,,,,,,
190,jana,*,MW:jana,,,,,,,,
191,jAna,*,MW:jAna,,,,,,,,
192,janma,*,MW:janma,,,,,,,,
193,jaqa,*,MW:jaqa,,,,,,,,
194,jara,*,MW:jara,,,,,,,,
195,jarA,*,MW:jarA,,,,,,,,
196,jArA,*,MW:jArA,,,,,,,,
197,jasa,*,MW:jasa,,,,,,,,
198,jAsa,*,MW:jAsa,,,,,,,,
199,java,*,MW:java,,,,,,,,
200,jawa,*,MW:jawa,,,,,,,,
201,jaWala,*,MW:jaWala,,,,,,,,
202,jaya,*,MW:jaya,,,,,,,,
203,jaza,*,MW:jaza,,,,,,,,
204,jU,*,MW:jU,,,,,,,,
205,kA,*,MW:kA,,,,,,,,
206,Ka,*,MW:Ka,,,,,,,,
207,kada,*,MW:kada,,,,,,,,
