sign,xlit,canonical,regex
000,.,000,
999, ,999,
001,a,001,
002,v,002,
003,j,033,
004,c,034,
005,p,015,
006,s,016,
007,s,017,
012,n,012,
013,t,013,
014,s,014,
015,p,015,
016,s,016,
017,s,017,
018,as,018,
019,n,019,
020,d,020,
025,p,015,
026,s,016,
027,s,017,
028,as,018,
029,j,055,
031,a,031,
032,s,032,
033,j,033,
034,c,034,
035,p,015,
036,s,016,
037,s,017,
039,n,019,
041,aa,031-001-031,
042,taas,014-031-013,
043,nasan,012-032-012,
044,aj,033-900,
045,ji,033-400,
046,jar,390-033,
047,aja,900-033-900,
048,asa,900-017-900,
049,asa,900-017-900,
050,asa,900-017-900,
051,an,019-900,
055,j,055,
056,j,055-055,
057,aja,900-055-900,
058,ana,031-368-031,
059,s,016,
060,m,060,
061,t,063,
062,t,063,
063,t,063,
064,r,390,
065,n,368,
066,g,066,
067,m,060,
068,m,060,
069,mam,070-070,
070,m,070,
071,m,070,
072,m,070,
073,ama,900-070-900,
074,n,520,
075,am,092-900,
080,s,684,
081,sa,503-684,
082,san,368-684,
083,as,684-900,
084,as,684-900,
085,asa,900-684-900,
090,a,090,
091,aa,090-090,
092,m,092,
093,aa,001-090,
094,y,156,
095,a,090,
096,a,090,
097,aa,031-090-031,
098,a,090,
099,a,090,
100,a,090,
101,aa,900-090-900,
102,aa,900-090-900,
103,aa,900-090-900,
104,a,090,
105,a,090,
106,a,090,
107,a,090,
110,an,700-090,
111,ana,090-700,
112,ana,090-705,
113,da,090-717,
115,anaar,790-090-700,
116,ana,090-700,
117,taa,090-808,
118,r,861,
119,raa,090-861,
121,yaa,090-277,
122,asa,090-550,
123,yaay,156-503-156,
125,da,090-892,
126,ad,892-090,
127,daad,892-090-892,
128,da,090-892,
129,daad,892-892-090,
130,y,156,
131,ya,156-001,
132,y,156,
133,y,156,
134,y,156,
135,y,156,
136,y,136,
137,a,090,
138,a,090,
139,y,090,
140,t,140,
141,ata,900-140-900,
142,a,090-031,
143,aa,031-090-031,
144,naan,012-090-031-012,
145,ca,090-034,
146,aa,090-900,
147,aa,503-090-031
148,t,140,
150,y,156,
151,y,156,
152,y,156,
153,y,156,
154,y,156,
155,y,156,
156,y,156,
157,y,156,
158,y,156,
159,y,156,
160,y,156,
161,y,156,
165,b,625,
166,b,625,
167,v,168,
168,v,168,
169,d,540,
170,ada,031-540-031
171,u,171,
172,y,156,
173,pad,540-440,
175,s,176,
176,s,176,
177,s,176,
178,s,176,
179,s,176,
180,s,176,
190,as,550,
191,asaas,550-550,
192,as,550,
193,as,550,
194,as,550,
195,as,550,
200,as,204,
201,as,204,
202,as,204,
203,asa,031-204,
204,as,204,
205,as,204,
206,as,204,
207,as,204,
208,as,204,
209,as,204,
215,y,215,
216,y,215,
217,aya,031-215-031,
219,mam,220-220,
220,m,220,
221,ama,900-220-900,
222,nama,031-220-368,
223,ama,031-220-031,
224,nama,031-220-368,
225,samas,032-220-032,
226,,012-220-012,
227,,220,
228,,220,
229,,220,
230,,220,
231,,220,
232,,012-220-012,
233,,220,
234,,012-220-012,
235,,220-900,
236,naaman,012-220-900-012,
237,,012-220-012,
240,,220,
241,,012-220-012,
242,,220,
243,,220-900,
244,s,244,
250,d,250,
251,d,250,
252,d,250,
253,d,250,
255,m,255,
256,ma,031-255,
257,s,176,
260,t,260,
261,tat,260,
262,t,260,
263,t,260,
264,t,260,
265,ata,900-260-900,
266,t,260,
267,ata,900-260-900,
268,t,260,
269,ata,900-260-900,
270,ata,900-260-900,
271,ata,900-260-900,
272,t,260,
275,y,277,
276,y,277,
277,y,277,
278,y,277,
279,y,277,
280,y,277,
281,aya,031-277-031,
285,as,550,
286,as,550,
287,as,550,
290,l,297,
291,l,297,
292,l,297,
293,l,297,
294,l,297,
295,l,297,
296,l,297,
297,l,297,
298,l,297,
299,l,297,
300,l,297,
301,l,297,
302,l,297,
303,l,297,
304,l,297,
305,l,297,
306,l,297,
307,l,297,
308,l,297,
309,as,550,
310,l,297,
311,l,297,
315,s,315,
316,ar,390-031,
317,s,315,
318,m,322,
319,s,315,
320,m,322,
321,ma,031-322,
322,m,322,
323,m,322,
324,m,322,
325,m,322,
326,m,322,
327,m,322,
328,d,717,
329,,717-001,
330,m,322,
335,m,335,
336,m,335,
337,m,335,
338,m,335,
340,m,340,
341,m,340,
342,m,340,
343,m,340,
344,m,340,
345,m,340,
346,m,340,
347,m,340,
348,m,340,
350,c,350,
351,c,350,
352,c,350,
353,c,350,
354,c,350,
360,m,322,
361,m,322-900,
362,m,621,
363,v,363,
365,n,368,
367,n,368,
368,n,368,
370,k,371,
371,k,371,
372,m,092,
373,m,092,
374,t,374,
375,ata,031-374-031,
376,ama,900-092-900,
380,b,625,
